ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
201013_s_at	289.041	P	0.000244141
201014_s_at	155.439	P	0.000244141
201015_s_at	61.4316	P	0.0302734
201016_at	367.027	P	0.000244141
201017_at	616.046	P	0.000244141
201018_at	480.768	P	0.000244141
201019_s_at	1215.16	P	0.000244141
201020_at	350.61	P	0.000244141
201021_s_at	579.007	P	0.000732422
201022_s_at	773.651	P	0.000244141
201023_at	1112.71	P	0.000244141
201024_x_at	422.955	P	0.000244141
201025_at	167.315	P	0.000244141
201026_at	46.9395	P	0.00415039
201027_s_at	256.781	P	0.000732422
201028_s_at	1119.96	P	0.000244141
201029_s_at	2068.59	P	0.000244141
201030_x_at	4868.7	P	0.000244141
201031_s_at	3411.16	P	0.000244141
201032_at	607.956	P	0.000244141
201033_x_at	9279.31	P	0.000244141
201034_at	4082.62	P	0.000244141
201035_s_at	131.27	P	0.00805664
201036_s_at	187.604	P	0.000244141
201037_at	335.288	P	0.000244141
201038_s_at	383.193	P	0.000244141
201039_s_at	343.948	P	0.000244141
201040_at	815.882	P	0.000732422
201041_s_at	6325.27	P	0.000244141
201042_at	20.6458	A	0.246094
201043_s_at	268.598	P	0.000244141
201044_x_at	546.913	P	0.000244141
201045_s_at	46.2025	A	0.149658
201046_s_at	589.545	P	0.00585938
201047_x_at	763.773	P	0.000244141
201048_x_at	114.631	P	0.0141602
201049_s_at	10658	P	0.000244141
201050_at	285.126	P	0.000244141
201051_at	1483.02	P	0.000244141
201052_s_at	390.04	P	0.000732422
201053_s_at	400.646	P	0.0012207
201054_at	934.826	P	0.000244141
201055_s_at	235.342	P	0.000244141
201056_at	107.505	P	0.0107422
201057_s_at	258.298	P	0.000244141
201058_s_at	74.1922	P	0.0375977
201059_at	81.6609	P	0.000244141
201060_x_at	692.059	P	0.00292969
201061_s_at	1047.28	P	0.000244141
201062_at	0.873275	A	0.633789
201063_at	112.059	P	0.000732422
201064_s_at	751.124	P	0.000244141
201065_s_at	1050.54	P	0.000732422
201066_at	574.064	P	0.00585938
201067_at	263.272	P	0.00195313
201068_s_at	923.337	P	0.000244141
201069_at	3.84911	A	0.5
201070_x_at	981.922	P	0.000244141
201071_x_at	4155.69	P	0.000244141
201072_s_at	142.03	P	0.00195313
201073_s_at	158.119	P	0.000244141
201074_at	371.342	P	0.000244141
201075_s_at	284.522	P	0.000244141
201076_at	337.465	P	0.000244141
201077_s_at	876.791	P	0.000244141
201078_at	1469.1	P	0.000244141
201079_at	526.645	P	0.000244141
201080_at	187.569	P	0.00415039
201081_s_at	62.8177	P	0.0012207
201082_s_at	170.88	P	0.000244141
201083_s_at	355.386	P	0.0012207
201084_s_at	1823.99	P	0.000244141
201085_s_at	370.914	P	0.000244141
201086_x_at	1866.71	P	0.000244141
201087_at	403.91	P	0.0012207
201088_at	524.843	P	0.000244141
201089_at	1249.24	P	0.000244141
201090_x_at	3000.35	P	0.0185547
201091_s_at	990.664	P	0.000244141
201092_at	743.628	P	0.000244141
201093_x_at	537.366	P	0.000244141
201094_at	13677.5	P	0.000244141
201095_at	236.659	P	0.0012207
201096_s_at	552.234	P	0.000244141
201097_s_at	1241.29	P	0.000244141
201098_at	574.494	P	0.000244141
201099_at	468.153	P	0.000244141
201100_s_at	1064.93	P	0.000244141
201101_s_at	535.153	P	0.000244141
201102_s_at	271.285	P	0.00195313
201103_x_at	3126.04	P	0.000244141
201104_x_at	1958.51	P	0.000244141
201105_at	1970.39	P	0.000732422
201106_at	1329.32	P	0.0012207
201107_s_at	10.2945	A	0.601074
201108_s_at	147.668	P	0.00585938
201109_s_at	80.4918	P	0.0375977
201110_s_at	112.828	P	0.000244141
201111_at	151.883	P	0.000732422
201112_s_at	739.627	P	0.000244141
201113_at	739.144	P	0.000244141
201114_x_at	1168.11	P	0.000732422
201115_at	213.065	P	0.00805664
