ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200643_at	129.968	P	0.000732422
200644_at	291.086	P	0.000244141
200645_at	2399.22	P	0.000244141
200646_s_at	139.888	P	0.00292969
200647_x_at	1656.1	P	0.000244141
200648_s_at	618.263	P	0.000732422
200649_at	239.228	P	0.000244141
200650_s_at	1970.11	P	0.000244141
200651_at	7181.04	P	0.000244141
200652_at	1494.17	P	0.000244141
200653_s_at	4804.42	P	0.000244141
200654_at	779.284	P	0.00585938
200655_s_at	2639	P	0.000244141
200656_s_at	439.165	P	0.000732422
200657_at	1460.02	P	0.000244141
200658_s_at	238.044	P	0.000244141
200659_s_at	96.0779	P	0.000244141
200660_at	1373.08	P	0.000244141
200661_at	1150.81	P	0.000244141
200662_s_at	1113.66	P	0.000244141
200663_at	1057.76	P	0.000244141
200664_s_at	475.718	P	0.000732422
200665_s_at	1532.76	P	0.000244141
200666_s_at	527.808	P	0.000244141
200667_at	1003.95	P	0.000244141
200668_s_at	2937.7	P	0.000244141
200669_s_at	1612.28	P	0.000244141
200670_at	489.679	P	0.000244141
200671_s_at	76.6085	P	0.0185547
200672_x_at	200.421	P	0.000244141
200673_at	1384.86	P	0.000244141
200674_s_at	8021.61	P	0.000244141
200675_at	708.349	P	0.000244141
200676_s_at	82.0498	P	0.000244141
200677_at	1085.76	P	0.000244141
200678_x_at	856.884	P	0.000244141
200679_x_at	1848.2	P	0.000244141
200680_x_at	4761.85	P	0.000244141
200681_at	539.53	P	0.000244141
200682_s_at	1582.64	P	0.000244141
200683_s_at	386.122	P	0.000244141
200684_s_at	174.289	P	0.000244141
200685_at	530.561	P	0.000244141
200686_s_at	1590.93	P	0.000244141
200687_s_at	217.788	P	0.0012207
200688_at	42.9161	P	0.00415039
200689_x_at	6084.29	P	0.000244141
200690_at	78.0083	P	0.00195313
200691_s_at	519.791	P	0.000244141
200692_s_at	284.546	P	0.000244141
200693_at	1602.08	P	0.000244141
200694_s_at	593.777	P	0.000244141
200695_at	197.672	P	0.00195313
200696_s_at	221.446	P	0.0012207
200697_at	497.653	P	0.000244141
200698_at	200.173	P	0.000244141
200699_at	87.1606	P	0.000244141
200700_s_at	239.144	P	0.000244141
200701_at	1143.16	P	0.000244141
200702_s_at	114.897	P	0.000244141
200703_at	1939.73	P	0.000244141
200704_at	1543.49	P	0.000244141
200705_s_at	4819.02	P	0.000244141
200706_s_at	1487.04	P	0.000244141
200707_at	215.119	P	0.000732422
200708_at	173.45	P	0.000244141
200709_at	1304.03	P	0.000244141
200710_at	368.205	P	0.000244141
200711_s_at	569.202	P	0.000244141
200712_s_at	413.723	P	0.000244141
200713_s_at	1027.14	P	0.000244141
200714_x_at	571.618	P	0.000244141
200715_x_at	5062.47	P	0.000244141
200716_x_at	10194.6	P	0.000244141
200717_x_at	10610.7	P	0.000244141
200718_s_at	3533.26	P	0.000244141
200719_at	304.855	P	0.000244141
200720_s_at	184.374	P	0.000244141
200721_s_at	150.744	P	0.000732422
200722_s_at	315.283	P	0.000244141
200723_s_at	915.538	P	0.000244141
200724_at	16.6831	A	0.303711
200725_x_at	7404.35	P	0.000244141
200726_at	2050.76	P	0.000244141
200727_s_at	857.64	P	0.000244141
200728_at	3285.71	P	0.000244141
200729_s_at	2451.68	P	0.000244141
200730_s_at	281.255	P	0.000244141
200731_s_at	256.349	P	0.000732422
200732_s_at	548.67	P	0.000244141
200733_s_at	199.763	P	0.000244141
200734_s_at	391.925	P	0.000244141
200735_x_at	7218.77	P	0.000244141
200736_s_at	4605.05	P	0.000244141
200737_at	503.931	P	0.000732422
200738_s_at	2899.44	P	0.000244141
200739_s_at	335.551	P	0.000244141
200740_s_at	882.271	P	0.000244141
200741_s_at	11029.1	P	0.000244141
200742_s_at	1145.47	P	0.000244141
200743_s_at	1432.51	P	0.000244141
200744_s_at	674.172	P	0.000244141
200745_s_at	1162.86	P	0.000244141
200746_s_at	1251.63	P	0.000244141
200747_s_at	213.569	P	0.000244141
200748_s_at	10671.1	P	0.000244141
200749_at	196.436	P	0.000732422
200750_s_at	1462.18	P	0.000244141
200751_s_at	1162.34	P	0.000244141
200752_s_at	111.028	P	0.000732422
200753_x_at	590.816	P	0.000244141
200754_x_at	1543.42	P	0.000244141
200755_s_at	93.8577	P	0.000244141
200756_x_at	83.9119	P	0.0239258
200757_s_at	133.418	P	0.000732422
200758_s_at	130.511	P	0.00292969
200759_x_at	124.618	P	0.00195313
200760_s_at	3030.74	P	0.000244141
200761_s_at	3501.97	P	0.000244141
200762_at	678.454	P	0.000244141
200763_s_at	9465.98	P	0.000244141
200764_s_at	145.162	P	0.0012207
200765_x_at	196.806	P	0.000244141
200766_at	171.508	P	0.00195313
200767_s_at	119.758	P	0.000244141
200768_s_at	628.291	P	0.000244141
200769_s_at	178.899	P	0.0012207
200770_s_at	37.8881	P	0.000732422
200771_at	70.504	P	0.00805664
200772_x_at	3084.62	P	0.000244141
200773_x_at	4646.07	P	0.000244141
200774_at	1788.31	P	0.000244141
200775_s_at	3179.45	P	0.000244141
200776_s_at	614.795	P	0.000244141
200777_s_at	756.478	P	0.000244141
200778_s_at	890.695	P	0.000244141
200779_at	1909.29	P	0.000244141
200780_x_at	5432.92	P	0.000244141
200781_s_at	8919.98	P	0.000244141
200782_at	765.108	P	0.000244141
200783_s_at	74.7206	P	0.00195313
200784_s_at	43.4517	A	0.129639
200785_s_at	55.6272	P	0.0239258
200786_at	613.808	P	0.000244141
200787_s_at	164.138	P	0.000244141
200788_s_at	463.106	P	0.000244141
200789_at	437.198	P	0.00585938
200790_at	1767.28	P	0.000244141
200791_s_at	1779.67	P	0.000244141
200792_at	1203.58	P	0.000732422
200793_s_at	265.919	P	0.00585938
200794_x_at	4899.49	P	0.000244141
200795_at	1.36559	A	0.916016
200796_s_at	319.096	P	0.000732422
200797_s_at	4328.28	P	0.000244141
200798_x_at	1859.65	P	0.000244141
200799_at	735.919	P	0.000244141
200800_s_at	258.093	P	0.000732422
200801_x_at	12354.2	P	0.000244141
200802_at	485.508	P	0.000244141
200803_s_at	1499.86	P	0.000244141
200804_at	1462.42	P	0.000244141
200805_at	174.767	P	0.000244141
200806_s_at	574.812	P	0.000244141
200807_s_at	1034.81	P	0.000244141
200808_s_at	430.962	P	0.000244141
200809_x_at	6939.83	P	0.000244141
200810_s_at	1323.82	P	0.000244141
200811_at	892.774	P	0.0012207
200812_at	389.129	P	0.000244141
200813_s_at	292.763	P	0.000732422
200814_at	1351.49	P	0.000244141
200815_s_at	165.066	P	0.000244141
200816_s_at	490.264	P	0.000244141
200817_x_at	10795.9	P	0.000244141
200818_at	1404.17	P	0.000244141
200819_s_at	9003.57	P	0.000244141
200820_at	367.265	P	0.000732422
200821_at	326.845	P	0.000244141
200822_x_at	817.753	P	0.000244141
200823_x_at	5825.11	P	0.000244141
200824_at	405.795	P	0.000732422
200825_s_at	266.627	P	0.000732422
200826_at	2454.25	P	0.000244141
200827_at	75.1701	P	0.0141602
200828_s_at	1500.12	P	0.000244141
200829_x_at	710.494	P	0.000244141
200830_at	406.807	P	0.000244141
200831_s_at	25.3761	A	0.246094
200832_s_at	41.1492	P	0.000732422
200833_s_at	4746.84	P	0.000244141
200834_s_at	10559.3	P	0.000244141
200835_s_at	20.5747	A	0.466064
200836_s_at	44.556	A	0.303711
200837_at	580.88	P	0.000244141
200838_at	763.698	P	0.000244141
200839_s_at	920.895	P	0.000244141
200840_at	2123.28	P	0.000244141
200841_s_at	113.62	P	0.000244141
200842_s_at	225.754	P	0.000732422
200843_s_at	299.526	P	0.000244141
200844_s_at	1442.27	P	0.000244141
200845_s_at	1477.11	P	0.000244141
200846_s_at	1199.65	P	0.000244141
200847_s_at	3663.41	P	0.000244141
200848_at	109.199	P	0.000244141
200849_s_at	169.066	P	0.000732422
200850_s_at	681.787	P	0.000244141
200851_s_at	862.056	P	0.000244141
200852_x_at	387.94	P	0.00292969
200853_at	1049.13	P	0.00195313
200854_at	250.122	P	0.000244141
200855_at	95.1528	P	0.000244141
200856_x_at	91.1164	P	0.000244141
200857_s_at	274.496	P	0.00195313
200858_s_at	6815.15	P	0.000244141
200859_x_at	1180.51	P	0.000732422
200860_s_at	674.82	P	0.000244141
200861_at	283.353	P	0.000732422
200862_at	30.1277	P	0.0302734
200863_s_at	1674.88	P	0.000244141
200864_s_at	393.817	P	0.000244141
200865_at	0.319093	A	0.919434
200866_s_at	3568.26	P	0.000244141
200867_at	221.092	P	0.000244141
200868_s_at	373.281	P	0.0012207
200869_at	9581.89	P	0.000244141
200870_at	738.906	P	0.000244141
200871_s_at	4981.45	P	0.000244141
200872_at	2342.92	P	0.000244141
200873_s_at	1013.62	P	0.000244141
200874_s_at	98.7225	P	0.000244141
200875_s_at	471.243	P	0.000244141
200876_s_at	1330.75	P	0.000244141
200877_at	847.296	P	0.000244141
200878_at	31.2361	P	0.00195312
200879_s_at	7.42327	A	0.466064
200880_at	413.972	P	0.000244141
200881_s_at	842.638	P	0.000244141
200882_s_at	641.223	P	0.000244141
200883_at	804.428	P	0.000244141
200884_at	40.0378	A	0.334473
200885_at	209.224	P	0.00292969
200886_s_at	1345.19	P	0.000244141
200887_s_at	846.031	P	0.000244141
200888_s_at	7543.76	P	0.000244141
200889_s_at	476.137	P	0.000244141
200890_s_at	343.986	P	0.000244141
200891_s_at	1694.62	P	0.000244141
200892_s_at	953.85	P	0.000244141
200893_at	1603.54	P	0.000244141
200894_s_at	69.8709	P	0.00292969
200895_s_at	119.902	P	0.00805664
200896_x_at	422.622	P	0.0012207
200897_s_at	68.0497	P	0.000244141
200898_s_at	573.722	P	0.000244141
200899_s_at	859.968	P	0.000244141
200900_s_at	495.077	P	0.000244141
200901_s_at	496.856	P	0.000244141
200902_at	1116.96	P	0.000244141
200903_s_at	108.222	P	0.000244141
200904_at	4334.34	P	0.000244141
200905_x_at	5584.05	P	0.000244141
200906_s_at	2.6681	A	0.432373
200907_s_at	32.3685	P	0.0302734
200908_s_at	56.3746	A	0.0805664
200909_s_at	9197.7	P	0.000244141
200910_at	582.853	P	0.000244141
200911_s_at	862.558	P	0.00195313
200912_s_at	4824.76	P	0.000244141
200913_at	129.467	P	0.00585938
200914_x_at	426.235	P	0.000244141
200915_x_at	788.041	P	0.000244141
200916_at	4266.35	P	0.000244141
200917_s_at	141.732	P	0.0461426
200918_s_at	677.632	P	0.0012207
200919_at	296.939	P	0.0107422
200920_s_at	7542.27	P	0.000244141
200921_s_at	3032.22	P	0.000244141
200922_at	77.3532	P	0.000244141
200923_at	122.486	P	0.0141602
200924_s_at	145.609	P	0.00195313
200925_at	1720.12	P	0.000244141
200926_at	12133.9	P	0.000244141
200927_s_at	375.482	P	0.000244141
200928_s_at	16.9768	P	0.000244141
200929_at	545.684	P	0.000244141
200930_s_at	25.1072	A	0.129639
200931_s_at	1882.97	P	0.000244141
200932_s_at	320.803	P	0.000244141
200933_x_at	10556.1	P	0.000244141
200934_at	1289.14	P	0.000244141
200935_at	97.9138	P	0.000244141
200936_at	6648.66	P	0.000244141
200937_s_at	5247.16	P	0.000244141
200938_s_at	0.981851	A	0.753906
200939_s_at	2.28996	A	0.567627
200940_s_at	208.841	P	0.000244141
200941_at	370.79	P	0.000244141
200942_s_at	380.809	P	0.000244141
200943_at	1384.85	P	0.000732422
200944_s_at	1814.27	P	0.000244141
200945_s_at	786.234	P	0.000244141
200946_x_at	329.092	P	0.000732422
200947_s_at	280.093	P	0.000732422
200948_at	243.168	P	0.000244141
200949_x_at	7625.19	P	0.000244141
200950_at	245.314	P	0.000244141
200951_s_at	43.1807	P	0.00292969
200952_s_at	54.4485	P	0.000244141
200953_s_at	709.437	P	0.000244141
200954_at	505.508	A	0.129639
200955_at	546.501	P	0.000244141
