ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200619_at	619.953	P	0.00415039
200620_at	2230.47	P	0.000244141
200621_at	295.13	P	0.000244141
200622_x_at	696.193	P	0.000244141
200623_s_at	457.689	P	0.000244141
200624_s_at	1701.94	P	0.000244141
200625_s_at	4099.52	P	0.000244141
200626_s_at	2238.19	P	0.000244141
200627_at	3435.55	P	0.000244141
200628_s_at	1246.53	P	0.00195313
200629_at	1395.74	P	0.000244141
200630_x_at	1647.38	P	0.000244141
200631_s_at	1628.33	P	0.000244141
200632_s_at	490.606	P	0.000244141
200633_at	7879.62	P	0.000244141
200634_at	3962.51	P	0.000244141
200635_s_at	4.63585	A	0.633789
200636_s_at	5.07085	A	0.696289
200637_s_at	7.67677	A	0.432373
200638_s_at	3361.27	P	0.000244141
200639_s_at	2956.73	P	0.000244141
200640_at	3281.68	P	0.000244141
200641_s_at	2948.01	P	0.000244141
200642_at	2041.8	P	0.000244141
200643_at	211.285	P	0.0012207
200644_at	391.088	P	0.000244141
200645_at	3931.55	P	0.000244141
200646_s_at	211.998	P	0.000732422
200647_x_at	1996.41	P	0.000244141
200648_s_at	990.575	P	0.000732422
200649_at	276.39	P	0.000244141
200650_s_at	2817.15	P	0.000244141
200651_at	7243.5	P	0.000244141
200652_at	1753.33	P	0.000244141
200653_s_at	4996.61	P	0.000244141
200654_at	1102.94	P	0.00805664
200655_s_at	3239.44	P	0.000244141
200656_s_at	558.086	P	0.000732422
200657_at	2396.85	P	0.000244141
200658_s_at	436.33	P	0.000244141
200659_s_at	110.676	P	0.000244141
200660_at	2838.27	P	0.000244141
200661_at	1036.39	P	0.000244141
200662_s_at	1420.16	P	0.000244141
200663_at	1307.35	P	0.000244141
200664_s_at	452.019	P	0.000732422
200665_s_at	499.291	P	0.000244141
200666_s_at	540.303	P	0.000244141
200667_at	1379.67	P	0.000244141
200668_s_at	3680.82	P	0.000244141
200669_s_at	2043.49	P	0.000244141
200670_at	588.505	P	0.000244141
200671_s_at	138.894	P	0.00805664
200672_x_at	252.702	P	0.000244141
200673_at	2221.15	P	0.000244141
200674_s_at	8356.88	P	0.000244141
200675_at	952.413	P	0.000244141
200676_s_at	133.046	P	0.000244141
200677_at	1966.79	P	0.000244141
200678_x_at	2121.44	P	0.000244141
200679_x_at	1712.98	P	0.000244141
200680_x_at	4627.82	P	0.000244141
200681_at	599.853	P	0.000244141
200682_s_at	1749.97	P	0.000244141
200683_s_at	641.13	P	0.000244141
200684_s_at	314.943	P	0.000244141
200685_at	612.964	P	0.000244141
200686_s_at	1915.32	P	0.000244141
200687_s_at	298.174	P	0.000244141
200688_at	40.3452	P	0.0239258
200689_x_at	6491.96	P	0.000244141
200690_at	87.1152	P	0.0012207
200691_s_at	683.834	P	0.000244141
200692_s_at	418.401	P	0.000244141
200693_at	2042.4	P	0.000244141
200694_s_at	753.475	P	0.000244141
200695_at	236.114	P	0.000244141
200696_s_at	263.29	P	0.0012207
200697_at	675.985	P	0.000244141
200698_at	267.098	P	0.000244141
200699_at	194.795	P	0.000244141
200700_s_at	493.47	P	0.000244141
200701_at	2196.84	P	0.000244141
200702_s_at	236.5	P	0.000244141
200703_at	1824.5	P	0.000244141
200704_at	1320.74	P	0.000244141
200705_s_at	5108.64	P	0.000244141
200706_s_at	1353.04	P	0.000244141
200707_at	247.316	P	0.000732422
200708_at	240.743	P	0.000244141
200709_at	1918.87	P	0.000244141
200710_at	433.182	P	0.000244141
200711_s_at	515.997	P	0.000244141
200712_s_at	563.212	P	0.000244141
200713_s_at	1345.3	P	0.000244141
200714_x_at	866.201	P	0.000244141
200715_x_at	5892.66	P	0.000244141
200716_x_at	10418	P	0.000244141
200717_x_at	11477.5	P	0.000244141
200718_s_at	4600.65	P	0.000244141
200719_at	292.825	P	0.000244141
200720_s_at	322.289	P	0.000244141
200721_s_at	252.594	P	0.000244141
200722_s_at	536.431	P	0.000244141
200723_s_at	1640.89	P	0.000244141
200724_at	43.1275	P	0.0375977
200725_x_at	7014.27	P	0.000244141
200726_at	2806.13	P	0.000244141
200727_s_at	1561.26	P	0.000244141
200728_at	4823.1	P	0.000244141
200729_s_at	3683.76	P	0.000244141
200730_s_at	327.055	P	0.000244141
200731_s_at	283.959	P	0.000732422
200732_s_at	522.912	P	0.000244141
200733_s_at	268.618	P	0.000244141
200734_s_at	491.899	P	0.000244141
200735_x_at	8589.78	P	0.000244141
200736_s_at	3427.92	P	0.000244141
200737_at	822.123	P	0.000244141
200738_s_at	3327.11	P	0.000244141
200739_s_at	399.241	P	0.000244141
200740_s_at	1095.63	P	0.000244141
200741_s_at	11271.6	P	0.000244141
200742_s_at	1442.35	P	0.000244141
200743_s_at	2109.41	P	0.000244141
200744_s_at	1106.91	P	0.000244141
200745_s_at	1769.43	P	0.000244141
200746_s_at	1779.57	P	0.000244141
200747_s_at	391.224	P	0.000244141
200748_s_at	10321.6	P	0.000244141
200749_at	369.81	P	0.000244141
200750_s_at	2206.91	P	0.000244141
200751_s_at	1885.5	P	0.000244141
200752_s_at	143.28	P	0.000732422
200753_x_at	771.876	P	0.000244141
200754_x_at	2149.3	P	0.000244141
200755_s_at	121.585	P	0.000244141
200756_x_at	127.646	P	0.00415039
200757_s_at	193.294	P	0.000732422
200758_s_at	213.537	P	0.000732422
200759_x_at	281.294	P	0.0012207
200760_s_at	3705.79	P	0.000244141
200761_s_at	4002.09	P	0.000244141
200762_at	1698.46	P	0.000244141
200763_s_at	10254.8	P	0.000244141
200764_s_at	341.751	P	0.000244141
200765_x_at	474.537	P	0.000244141
200766_at	260.726	P	0.000244141
200767_s_at	197.157	P	0.000244141
200768_s_at	971.544	P	0.000244141
200769_s_at	305.335	P	0.000244141
200770_s_at	25.5032	P	0.00292969
200771_at	41.3571	A	0.0952148
200772_x_at	3705.55	P	0.000244141
200773_x_at	4643.18	P	0.000244141
200774_at	2641.95	P	0.000244141
200775_s_at	4107.55	P	0.000244141
200776_s_at	1212.49	P	0.000244141
200777_s_at	1143.74	P	0.000244141
200778_s_at	1055.16	P	0.000244141
200779_at	1777.13	P	0.000244141
200780_x_at	4178.02	P	0.000244141
200781_s_at	9361.33	P	0.000244141
200782_at	1783.31	P	0.000244141
200783_s_at	79.5482	P	0.000244141
200784_s_at	88.4388	P	0.000244141
200785_s_at	130.663	P	0.0012207
200786_at	1099.88	P	0.000244141
200787_s_at	307.131	P	0.000244141
200788_s_at	917.994	P	0.000244141
200789_at	462.616	P	0.00585938
200790_at	1093.42	P	0.000244141
200791_s_at	2587.87	P	0.000244141
200792_at	1736.07	P	0.000732422
200793_s_at	463.286	P	0.0012207
200794_x_at	5845.94	P	0.000244141
200795_at	0.885279	A	0.850342
200796_s_at	706.484	P	0.000244141
200797_s_at	5418.07	P	0.000244141
200798_x_at	3364.12	P	0.000244141
200799_at	2525.63	P	0.000244141
200800_s_at	983.562	P	0.000244141
200801_x_at	12721.7	P	0.000244141
200802_at	813.314	P	0.000244141
200803_s_at	2284.8	P	0.000244141
200804_at	1883.63	P	0.000244141
200805_at	287.402	P	0.000244141
200806_s_at	1257.02	P	0.000244141
200807_s_at	2066.03	P	0.000244141
200808_s_at	759.733	P	0.000244141
200809_x_at	8078.79	P	0.000244141
200810_s_at	1119.36	P	0.000244141
200811_at	647.721	P	0.0012207
200812_at	700.551	P	0.000244141
200813_s_at	459.292	P	0.000732422
200814_at	2335.67	P	0.000244141
200815_s_at	322.264	P	0.000244141
200816_s_at	822.136	P	0.000244141
200817_x_at	10845.8	P	0.000244141
200818_at	1691.66	P	0.000732422
200819_s_at	9347.59	P	0.000244141
200820_at	598.208	P	0.000732422
200821_at	831.074	P	0.000732422
