ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200603_at	4615.15	P	0.000244141
200604_s_at	1646.7	P	0.000244141
200605_s_at	4164.18	P	0.000244141
200606_at	11.9498	A	0.111572
200607_s_at	782.621	P	0.000244141
200608_s_at	2323.84	P	0.000244141
200609_s_at	1748.75	P	0.000244141
200610_s_at	295.603	P	0.000244141
200611_s_at	1606.8	P	0.000244141
200612_s_at	138.416	P	0.00195313
200613_at	536.844	P	0.000244141
200614_at	1191.94	P	0.000244141
200615_s_at	88.4517	P	0.000732422
200616_s_at	62.2919	P	0.00415039
200617_at	73.0438	A	0.0805664
200618_at	2851.57	P	0.000244141
200619_at	422.436	P	0.00805664
200620_at	2831.66	P	0.000244141
200621_at	97.4128	P	0.000732422
200622_x_at	518.013	P	0.000244141
200623_s_at	252.42	P	0.000244141
200624_s_at	477.039	P	0.000244141
200625_s_at	5065.96	P	0.000244141
200626_s_at	692.842	P	0.000244141
200627_at	1276.17	P	0.000244141
200628_s_at	324.453	P	0.00585938
200629_at	485.722	P	0.000244141
200630_x_at	1136.14	P	0.000244141
200631_s_at	576.086	P	0.000244141
200632_s_at	412.913	P	0.00292969
200633_at	4935.52	P	0.000244141
200634_at	3596.3	P	0.000244141
200635_s_at	1.16563	A	0.953857
200636_s_at	1.20679	A	0.953857
200637_s_at	2.56153	A	0.72583
200638_s_at	2202.05	P	0.000244141
200639_s_at	1678.37	P	0.000244141
200640_at	2059.2	P	0.000244141
200641_s_at	1580.02	P	0.000244141
200642_at	236.02	P	0.000244141
200643_at	108.002	P	0.00292969
200644_at	416.73	P	0.000732422
200645_at	4727.97	P	0.000244141
200646_s_at	153.118	P	0.00415039
200647_x_at	98.836	P	0.0302734
200648_s_at	4365.99	P	0.000244141
200649_at	233.548	P	0.000244141
200650_s_at	630.863	P	0.000244141
200651_at	1295.24	P	0.000244141
200652_at	970.368	P	0.000244141
200653_s_at	2912.61	P	0.000244141
200654_at	353.459	P	0.00805664
200655_s_at	1485.6	P	0.000244141
200656_s_at	205.3	P	0.0012207
200657_at	443.233	P	0.000244141
200658_s_at	49.2704	P	0.000244141
200659_s_at	56.7091	P	0.00292969
200660_at	5621.74	P	0.000732422
200661_at	663.866	P	0.000244141
200662_s_at	283.958	P	0.000244141
200663_at	2023.52	P	0.000244141
200664_s_at	375.742	P	0.00195313
200665_s_at	100.508	P	0.0107422
200666_s_at	405.915	P	0.000244141
200667_at	1917.35	P	0.000244141
200668_s_at	5950.78	P	0.000244141
200669_s_at	3137.77	P	0.000244141
200670_at	76.1925	P	0.000244141
200671_s_at	17.4055	A	0.398926
200672_x_at	83.754	P	0.000244141
200673_at	1992.51	P	0.000244141
200674_s_at	2942.72	P	0.000244141
200675_at	165.768	P	0.000244141
200676_s_at	81.3842	P	0.000732422
200677_at	1937.88	P	0.000244141
200678_x_at	1069.54	P	0.000244141
200679_x_at	949.692	P	0.000244141
200680_x_at	3296.05	P	0.000244141
200681_at	108.715	P	0.00292969
200682_s_at	850.284	P	0.000244141
200683_s_at	414.223	P	0.000244141
200684_s_at	163.323	P	0.000244141
200685_at	83.4365	P	0.000244141
